Algorithm,SuccessRate,Mean_GlobalFitness,Std_GlobalFitness,Median_GlobalFitness,Min_GlobalFitness,Max_GlobalFitness,Mean_PathLength,Std_PathLength,Mean_TurningPenalty,Std_TurningPenalty,Mean_ClimbingPenalty,Std_ClimbingPenalty,Mean_HeightPenalty,Std_HeightPenalty,Mean_CollisionPenalty,Std_CollisionPenalty,Mean_TerrainPenalty,Std_TerrainPenalty,Mean_DangerZonePenalty,Std_DangerZonePenalty,Mean_DuplicatePenalty,Std_DuplicatePenalty,Mean_TotalGlobalPlanTime,Std_TotalGlobalPlanTime,Mean_AvgGlobalPlanTime,Mean_NumGlobalPlans
RLAMPSO [36],1.0000,1566.6532,0.0000,1566.6532,1566.6532,1566.6532,153.3907,0.0000,2.1550,0.0000,4.0157,0.0000,199.1939,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.2245,0.0000,39.2245,1.00
DQN-PSO [34],1.0000,1580.5763,0.0000,1580.5763,1580.5763,1580.5763,165.6641,0.0000,1.5668,0.0000,5.1368,0.0000,186.4601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.1439,0.0000,73.1439,1.00
SAC-SAPSO [40],1.0000,1774.4337,0.0000,1774.4337,1774.4337,1774.4337,170.4014,0.0000,2.6044,0.0000,4.3397,0.0000,227.9392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.2529,0.0000,26.2529,1.00
PPO-PSO,1.0000,1435.8178,0.0000,1435.8178,1435.8178,1435.8178,200.4894,0.0000,2.2887,0.0000,3.7131,0.0000,150.3801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41.6406,0.0000,41.6406,1.00
MPSORL,1.0000,1664.6511,0.0000,1664.6511,1664.6511,1664.6511,186.3376,0.0000,3.8566,0.0000,4.3864,0.0000,166.7941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.2938,0.0000,23.2938,1.00
RRSACPSO,1.0000,1575.2968,0.0000,1575.2968,1575.2968,1575.2968,152.6680,0.0000,2.3014,0.0000,4.1544,0.0000,195.7160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.2250,0.0000,58.2250,1.00
