Run,Algorithm,Success,GlobalPathFitness,PathLength,TurningPenalty,ClimbingPenalty,HeightPenalty,CollisionPenalty,TerrainPenalty,DangerZonePenalty,DuplicatePenalty,TotalGlobalPlanTime,AvgGlobalPlanTime,NumGlobalPlans
1,AFSACPSO,1,1720.8693,203.5239,3.7982,4.5790,170.8895,0.0000,0.0000,0.0000,0.0000,19.8221,19.8221,1
2,AFSACPSO,1,1621.1410,186.8429,3.9765,4.3064,154.8738,0.0000,0.0000,0.0000,0.0000,19.4357,19.4357,1
3,AFSACPSO,1,1620.4239,168.3942,2.7999,4.4711,183.4629,0.0000,0.0000,0.0000,0.0000,19.1158,19.1158,1
4,AFSACPSO,1,1641.0993,172.9214,3.4424,4.9985,162.3738,0.0000,0.0000,0.0000,0.0000,19.0525,19.0525,1
5,AFSACPSO,1,1545.3404,152.5983,1.6298,3.3080,219.8823,0.0000,0.0000,0.0000,0.0000,18.9331,18.9331,1
6,AFSACPSO,1,1525.2237,148.2865,1.5853,4.3008,196.8932,0.0000,0.0000,0.0000,0.0000,19.2127,19.2127,1
7,AFSACPSO,1,1576.7295,178.8467,2.9362,3.8464,178.3577,0.0000,0.0000,0.0000,0.0000,18.9606,18.9606,1
8,AFSACPSO,1,1409.0856,200.5224,2.3655,3.5342,145.8112,0.0000,0.0000,0.0000,0.0000,19.9264,19.9264,1
