Run,Algorithm,Success,GlobalPathFitness,PathLength,TurningPenalty,ClimbingPenalty,HeightPenalty,CollisionPenalty,TerrainPenalty,DangerZonePenalty,DuplicatePenalty,TotalGlobalPlanTime,AvgGlobalPlanTime,NumGlobalPlans
1,RRSACPSO,1,1576.6302,191.3081,4.0806,4.1989,141.9566,0.0000,0.0000,0.0000,0.0000,60.0327,60.0327,1
1,PSO-Standard,1,1629.9083,166.9047,2.8686,5.5841,161.8363,0.0000,0.0000,0.0000,0.0000,22.3460,22.3460,1
1,PSO-LDIW,1,1617.7533,149.6414,1.5446,4.4470,217.2636,0.0000,0.0000,0.0000,0.0000,23.5474,23.5474,1
1,FIPS,1,1729.0775,212.5538,4.2334,4.7997,155.5158,0.0000,0.0000,0.0000,0.0000,23.1011,23.1011,1
1,CLPSO,1,1877.9767,179.6719,2.9855,5.8319,210.9352,0.0000,0.0000,0.0000,0.0000,23.1149,23.1149,1
1,SAEPSO [11],1,1500.3794,190.9478,2.1736,4.0022,166.8710,0.0000,0.0000,0.0000,0.0000,59.2555,59.2555,1
1,SAEPSO* [11],1,1572.2406,158.3671,2.6520,4.7757,172.3314,0.0000,0.0000,0.0000,0.0000,21.9873,21.9873,1
1,UAPSO [25],1,1570.2071,156.9896,1.8744,4.6529,191.1545,0.0000,0.0000,0.0000,0.0000,187.3667,187.3667,1
