Algorithm,SuccessRate,Mean_GlobalFitness,Std_GlobalFitness,Median_GlobalFitness,Min_GlobalFitness,Max_GlobalFitness,Mean_PathLength,Std_PathLength,Mean_TurningPenalty,Std_TurningPenalty,Mean_ClimbingPenalty,Std_ClimbingPenalty,Mean_HeightPenalty,Std_HeightPenalty,Mean_CollisionPenalty,Std_CollisionPenalty,Mean_TerrainPenalty,Std_TerrainPenalty,Mean_DangerZonePenalty,Std_DangerZonePenalty,Mean_DuplicatePenalty,Std_DuplicatePenalty,Mean_TotalGlobalPlanTime,Std_TotalGlobalPlanTime,Mean_AvgGlobalPlanTime,Mean_NumGlobalPlans
AFSACPSO,1.0000,1607.2446,86.7935,1615.2004,1453.3795,1750.5340,177.1911,24.5522,2.6363,1.0065,4.5029,0.7511,179.2479,27.8844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.7157,6.6834,38.7157,1.00
SACPSO-Global,1.0000,1569.3196,101.2003,1577.7894,1388.0530,1852.9520,195.1402,35.6203,3.3891,1.1803,4.2060,0.8042,152.7899,22.6206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.5712,4.9917,39.5712,1.00
SACPSO-5Subgroup,1.0000,1668.7979,67.3982,1661.2012,1544.9918,1783.1673,168.3931,16.6833,2.4690,0.8573,4.5816,0.7596,200.1491,31.6129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.0726,2.9582,34.0726,1.00
SACPSO-PerParticle,1.0000,1666.3285,76.9908,1665.0085,1452.9950,1820.9141,167.0908,21.0101,2.2817,1.0269,4.7295,0.9323,200.8949,33.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.1936,2.7536,33.1936,1.00
