Algorithm,SuccessRate,Mean_GlobalFitness,Std_GlobalFitness,Median_GlobalFitness,Min_GlobalFitness,Max_GlobalFitness,Mean_PathLength,Std_PathLength,Mean_TurningPenalty,Std_TurningPenalty,Mean_ClimbingPenalty,Std_ClimbingPenalty,Mean_HeightPenalty,Std_HeightPenalty,Mean_CollisionPenalty,Std_CollisionPenalty,Mean_TerrainPenalty,Std_TerrainPenalty,Mean_DangerZonePenalty,Std_DangerZonePenalty,Mean_DuplicatePenalty,Std_DuplicatePenalty,Mean_TotalGlobalPlanTime,Std_TotalGlobalPlanTime,Mean_AvgGlobalPlanTime,Mean_NumGlobalPlans
AFSACPSO,1.0000,1571.0133,104.6410,1573.1556,1419.0136,1779.6626,186.5102,17.2395,2.9876,0.8244,4.1997,0.6950,165.3053,23.6455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.7302,2.9103,35.7302,1.00
SACPSO-Global,1.0000,1557.7187,102.7229,1569.0027,1301.9576,1749.2090,201.6572,17.1113,3.8508,1.1573,4.0566,0.5305,140.6680,16.4174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.2700,2.8480,35.2700,1.00
SACPSO-5Subgroup,1.0000,1647.4451,114.3900,1644.8797,1461.1472,1909.2907,172.8387,16.4364,2.5254,0.7176,4.5408,0.6493,192.6330,24.6181,0.0000,0.0000,0.0000,0.0000,0.0001,0.0005,0.0000,0.0000,34.2611,2.6170,34.2611,1.00
SACPSO-PerParticle,1.0000,1638.0003,100.0753,1645.6440,1318.9925,1772.7765,175.6228,18.2922,2.6719,0.7783,4.2624,0.6350,191.8600,35.5867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.5755,2.6422,33.5755,1.00
