Algorithm,SuccessRate,Mean_GlobalFitness,Std_GlobalFitness,Median_GlobalFitness,Min_GlobalFitness,Max_GlobalFitness,Mean_PathLength,Std_PathLength,Mean_TurningPenalty,Std_TurningPenalty,Mean_ClimbingPenalty,Std_ClimbingPenalty,Mean_HeightPenalty,Std_HeightPenalty,Mean_CollisionPenalty,Std_CollisionPenalty,Mean_TerrainPenalty,Std_TerrainPenalty,Mean_DangerZonePenalty,Std_DangerZonePenalty,Mean_DuplicatePenalty,Std_DuplicatePenalty,Mean_TotalGlobalPlanTime,Std_TotalGlobalPlanTime,Mean_AvgGlobalPlanTime,Mean_NumGlobalPlans
AFSACPSO,1.0000,12341.1465,172.9646,12297.6980,12114.5257,12927.8002,319.8439,22.6497,1.5851,0.4973,1.2873,0.7602,116.7820,33.4675,0.0000,0.0000,11101.5853,0.0000,0.0000,0.0000,0.0000,0.0000,75.9511,6.6217,75.9511,1.00
SACPSO-Global,1.0000,12325.7150,170.0541,12262.2649,12120.4723,12748.1655,374.0793,40.7756,2.3903,1.2639,0.6526,0.5063,86.7732,15.0283,0.0000,0.0000,11101.5853,0.0000,0.0000,0.0000,0.0000,0.0000,77.0969,7.3109,77.0969,1.00
SACPSO-5Subgroup,1.0000,12392.5301,185.6024,12322.2474,12150.3861,12828.6905,322.4200,23.7240,1.8578,0.7914,1.2941,0.6964,122.7301,33.0786,0.0000,0.0000,11101.5853,0.0000,0.0000,0.0000,0.0000,0.0000,74.6692,6.9774,74.6692,1.00
SACPSO-PerParticle,1.0000,12462.7766,267.7009,12440.6359,12102.4482,13030.8328,331.3837,27.1604,2.0962,1.1360,1.3920,0.9645,129.5505,47.5568,0.0000,0.0000,11101.5853,0.0000,0.0000,0.0000,0.0000,0.0000,73.8405,6.6938,73.8405,1.00
