scenario_id,scenario_label,num_danger_zones,opponent,mean_attractor_field,mean_opponent,mean_diff_rank_minus_opponent,p_raw_t,p_holm_t,p_raw_wilcoxon,p_holm_wilcoxon,rank_biserial_r
1,ChrismasTerrain2 - Simple,0,SACPSO-Global,1607.244619,1569.319626,37.92499294,0.1249460767,0.2498921534,0.07691437243,0.1538287449,0.3720430108
1,ChrismasTerrain2 - Simple,0,SACPSO-5Subgroup,1607.244619,1668.797934,-61.55331516,0.006431692156,0.02572676862,0.01209578882,0.03628736646,-0.5268817204
1,ChrismasTerrain2 - Simple,0,SACPSO-PerParticle,1607.244619,1666.328513,-59.08389385,0.01089511363,0.03268534089,0.007050438454,0.02820175382,-0.5655913978
2,ChrismasTerrain2 - Medium,5,SACPSO-Global,1571.013327,1557.718657,13.29466916,0.6334260285,1,0.8693007748,1,0.03655913978
2,ChrismasTerrain2 - Medium,5,SACPSO-5Subgroup,1571.013327,1647.445091,-76.43176494,0.01897794363,0.05693383088,0.0249646693,0.0748940079,-0.4709677419
2,ChrismasTerrain2 - Medium,5,SACPSO-PerParticle,1571.013327,1638.000294,-66.98696721,0.006954241216,0.02781696486,0.005490947799,0.02745473899,-0.5827956989
3,ChrismasTerrain2 - Complex,10,SACPSO-Global,1586.705555,1500.77537,85.93018564,0.02135179505,0.08540718018,0.03079778888,0.1231911555,0.4537634409
3,ChrismasTerrain2 - Complex,10,SACPSO-5Subgroup,1586.705555,1632.815128,-46.10957279,0.1886323524,0.5658970572,0.1499285887,0.2998571773,-0.3032258065
3,ChrismasTerrain2 - Complex,10,SACPSO-PerParticle,1586.705555,1593.657569,-6.952013554,0.8749111485,0.8749111485,0.9835899967,0.9835899967,-0.006451612903
4,terrainStruct_c_100 - Simple,0,SACPSO-Global,12341.14646,12325.71503,15.43142875,0.7365415907,0.7365415907,0.967186934,0.967186934,-0.01075268817
4,terrainStruct_c_100 - Simple,0,SACPSO-5Subgroup,12341.14646,12392.53009,-51.38363103,0.2041062699,0.6123188096,0.07354309335,0.3514681867,-0.376344086
4,terrainStruct_c_100 - Simple,0,SACPSO-PerParticle,12341.14646,12462.77659,-121.6301377,0.05568030472,0.2784015236,0.07029363734,0.3514681867,-0.3806451613
