Algorithm,SuccessRate,Mean_GlobalFitness,Std_GlobalFitness,Median_GlobalFitness,Min_GlobalFitness,Max_GlobalFitness,Mean_PathLength,Std_PathLength,Mean_TurningPenalty,Std_TurningPenalty,Mean_ClimbingPenalty,Std_ClimbingPenalty,Mean_HeightPenalty,Std_HeightPenalty,Mean_CollisionPenalty,Std_CollisionPenalty,Mean_TerrainPenalty,Std_TerrainPenalty,Mean_DangerZonePenalty,Std_DangerZonePenalty,Mean_DuplicatePenalty,Std_DuplicatePenalty,Mean_TotalGlobalPlanTime,Std_TotalGlobalPlanTime,Mean_AvgGlobalPlanTime,Mean_NumGlobalPlans
RLAMPSO [36],1.0000,1614.8043,71.2948,1592.2498,1513.4486,1857.7267,158.2567,12.9339,1.9984,0.7802,4.1514,0.7311,209.6410,26.7078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.2184,21.1225,67.2184,1.00
DQN-PSO [34],1.0000,1751.4769,185.9040,1697.3093,1531.6449,2274.9868,165.7821,16.9897,2.4650,1.0659,4.7508,0.6204,218.4639,33.5021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,111.2741,11.5388,111.2741,1.00
SAC-SAPSO [40],1.0000,1659.6470,114.5295,1645.7334,1520.3553,2108.5492,158.7537,12.0974,1.9463,0.7330,4.5333,0.5528,213.7716,25.5999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.1235,4.1288,37.1235,1.00
PPO-PSO,1.0000,1546.2810,85.5763,1587.1008,1295.2654,1650.8363,198.3331,25.7731,3.4742,0.9772,3.9989,0.7859,148.2416,19.4207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.4424,10.4794,65.4424,1.00
MPSORL,1.0000,1613.1437,74.2445,1595.9405,1501.5892,1824.1006,174.1927,18.0812,2.7478,0.8875,4.6306,0.5404,176.9885,25.7784,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.6879,3.4707,33.6879,1.00
RRSACPSO,1.0000,1555.0530,47.3643,1555.1810,1441.1396,1650.6616,156.2052,12.1865,1.8745,0.6202,4.5511,0.6653,189.8102,21.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.1808,13.0763,88.1808,1.00
