scenario_id,metric_name,algorithm,n_valid,mean,std,median,min,max,average_rank,significant_wins_holm_t,friedman_chi_square,friedman_df,friedman_p,n_friedman_runs
1,global_fitness_total,RLAMPSO [36],30,1614.8042816874,71.2948231785139,1592.24978696619,1513.44862306887,1857.72667095126,3.63333333333333,1,43.2190476190477,5,3.33593879187077e-08,30
1,global_fitness_total,DQN-PSO [34],30,1751.47689684413,185.904006087112,1697.30934361146,1531.64487703008,2274.98679385929,4.93333333333333,0,43.2190476190477,5,3.33593879187077e-08,30
1,global_fitness_total,SAC-SAPSO [40],30,1659.64695391963,114.529461397204,1645.73344247411,1520.35525694941,2108.54915682906,4.23333333333333,0,43.2190476190477,5,3.33593879187077e-08,30
1,global_fitness_total,PPO-PSO,30,1546.28097495394,85.5762629121129,1587.10079660805,1295.26536174844,1650.8363313247,2.6,4,43.2190476190477,5,3.33593879187077e-08,30
1,global_fitness_total,MPSORL,30,1613.14372161371,74.2444931532835,1595.94050679824,1501.58924082881,1824.1006213167,3.36666666666667,1,43.2190476190477,5,3.33593879187077e-08,30
1,global_fitness_total,AFSACPSO,30,1555.05301132563,47.3643105557186,1555.18098195059,1441.13959193436,1650.66163265293,2.23333333333333,4,43.2190476190477,5,3.33593879187077e-08,30
