Algorithm,SuccessRate,Mean_GlobalFitness,Std_GlobalFitness,Median_GlobalFitness,Min_GlobalFitness,Max_GlobalFitness,Mean_PathLength,Std_PathLength,Mean_TurningPenalty,Std_TurningPenalty,Mean_ClimbingPenalty,Std_ClimbingPenalty,Mean_HeightPenalty,Std_HeightPenalty,Mean_CollisionPenalty,Std_CollisionPenalty,Mean_TerrainPenalty,Std_TerrainPenalty,Mean_DangerZonePenalty,Std_DangerZonePenalty,Mean_DuplicatePenalty,Std_DuplicatePenalty,Mean_TotalGlobalPlanTime,Std_TotalGlobalPlanTime,Mean_AvgGlobalPlanTime,Mean_NumGlobalPlans
RLAMPSO [36],1.0000,1684.5462,79.5733,1673.9480,1561.9621,1865.2183,162.6729,9.6617,2.3881,0.7109,4.4128,0.5828,211.6694,19.8315,0.0000,0.0000,0.0000,0.0000,0.0013,0.0071,0.0000,0.0000,48.0139,7.7610,48.0139,1.00
DQN-PSO [34],1.0000,1795.3145,199.4581,1743.1590,1465.9935,2265.6044,172.4127,13.5945,2.4531,0.6994,5.0988,0.8679,219.6575,41.2542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,110.5416,11.3538,110.5416,1.00
SAC-SAPSO [40],1.0000,1675.3724,78.0267,1679.4667,1466.4029,1865.6542,167.0863,13.2429,2.5102,0.6906,4.4223,0.6493,204.7986,23.8531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.6931,2.9256,36.6931,1.00
PPO-PSO,1.0000,1534.9604,106.5767,1560.4635,1299.7080,1800.8995,189.4887,14.8424,3.3186,0.8838,4.1794,0.5186,148.5785,18.7290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0345,5.6828,60.0345,1.00
MPSORL,1.0000,1551.3200,83.9869,1558.6938,1404.7890,1708.7967,186.4594,19.6269,3.0241,0.8714,4.2642,0.6379,158.2984,20.0144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.4314,2.7017,33.4314,1.00
RRSACPSO,1.0000,1612.8551,69.6555,1615.1054,1450.8698,1744.3340,166.0373,17.3906,2.3929,0.7469,4.4360,0.5174,191.7627,21.6102,0.0000,0.0000,0.0000,0.0000,0.0043,0.0238,0.0000,0.0000,79.4626,8.3532,79.4626,1.00
