scenario_id,metric_name,algorithm_1,algorithm_2,n_pairs,mean_1,mean_2,mean_diff,ci95_low,ci95_high,t_stat,p_raw_t,p_holm_t,sig_holm_t,cohen_dz,wilcoxon_W,p_raw_wilcoxon,p_holm_wilcoxon,sig_holm_wilcoxon,rank_biserial_r
2,global_fitness_total,RLAMPSO [36],DQN-PSO [34],30,1684.54623035621,1795.31446000806,-110.768229651853,-190.064290481375,-31.4721688223315,-2.85696999724238,0.00783153220311239,0.0254978390253457,1,-0.521608971201708,129,0.034129449551473,0.102388348654419,0,-0.445161290322581
2,global_fitness_total,RLAMPSO [36],SAC-SAPSO [40],30,1684.54623035621,1675.37235668244,9.17387367376354,-26.0441498882618,44.3918972357889,0.532757845925905,0.598260306509374,1,0,0.0972678299671599,257,0.621560344069081,0.994585969808579,0,0.105376344086022
2,global_fitness_total,RLAMPSO [36],PPO-PSO,30,1684.54623035621,1534.96040057401,149.585829782201,99.0446223807931,200.127037183608,6.05322644317342,1.37652381648756e-06,1.65182857978508e-05,1,1.10516288953762,440,2.06590511426796e-05,0.000247908613712156,1,0.89247311827957
2,global_fitness_total,RLAMPSO [36],MPSORL,30,1684.54623035621,1551.32000771328,133.22622264293,91.2746232362872,175.177822049574,6.49506153546656,4.13522193820626e-07,6.20283290730939e-06,1,1.18583057178639,446,1.18105355917386e-05,0.000165347498284341,1,0.918279569892473
2,global_fitness_total,RLAMPSO [36],RRSACPSO,30,1684.54623035621,1612.85511429913,71.691116057075,38.1907803695375,105.191451744613,4.37681571326317,0.000142638282083274,0.00114110625666619,1,0.7990935653991,394,0.000927963656673692,0.00742370925338953,1,0.694623655913978
2,global_fitness_total,DQN-PSO [34],SAC-SAPSO [40],30,1795.31446000806,1675.37235668244,119.942103325617,36.5201178437636,203.36408880747,2.94058147433431,0.00637445975633644,0.0254978390253457,1,0.536874268558233,346,0.0201135801863983,0.0804543207455932,0,0.488172043010753
2,global_fitness_total,DQN-PSO [34],PPO-PSO,30,1795.31446000806,1534.96040057401,260.354059434054,162.287614610008,358.4205042581,5.42982710097181,7.68567093700767e-06,7.68567093700767e-05,1,0.991346262185048,437,2.71740710986457e-05,0.000298914782085102,1,0.879569892473118
2,global_fitness_total,DQN-PSO [34],MPSORL,30,1795.31446000806,1551.32000771328,243.994452294784,162.431000026187,325.55790456338,6.11823889826911,1.15212182638658e-06,1.49775837430255e-05,1,1.11703248559585,451,7.32917136092581e-06,0.000109937570413887,1,0.939784946236559
2,global_fitness_total,DQN-PSO [34],RRSACPSO,30,1795.31446000806,1612.85511429913,182.459345708928,103.874266272427,261.044425145429,4.74862741123508,5.09949973750423e-05,0.000458954976375381,1,0.866976783440272,422,0.000101316974498999,0.000911852770490995,1,0.81505376344086
2,global_fitness_total,SAC-SAPSO [40],PPO-PSO,30,1675.37235668244,1534.96040057401,140.411956108437,91.5531142519514,189.270797964923,5.87764023520993,2.22931585147634e-06,2.45224743662398e-05,1,1.07310538057482,436,2.97498334898005e-05,0.000298914782085102,1,0.875268817204301
2,global_fitness_total,SAC-SAPSO [40],MPSORL,30,1675.37235668244,1551.32000771328,124.052348969167,84.7789019628856,163.325795975448,6.46023103717225,4.54363330071317e-07,6.36108662099844e-06,1,1.17947142191808,446,1.18105355917386e-05,0.000165347498284341,1,0.918279569892473
2,global_fitness_total,SAC-SAPSO [40],RRSACPSO,30,1675.37235668244,1612.85511429913,62.5172423833115,20.3325497706325,104.70193499599,3.0310074424414,0.00508898691520665,0.0254449345760333,1,0.553383716063731,362,0.00797052659783848,0.0493530691769539,1,0.556989247311828
2,global_fitness_total,PPO-PSO,MPSORL,30,1534.96040057401,1551.32000771328,-16.3596071392702,-71.1495536158608,38.4303393373204,-0.610680528206337,0.546167912027777,1,0,-0.111494500242594,199,0.49729298490429,0.994585969808579,0,-0.144086021505376
2,global_fitness_total,PPO-PSO,RRSACPSO,30,1534.96040057401,1612.85511429913,-77.8947137251256,-127.537342848198,-28.2520846020528,-3.20918896298467,0.0032414188849974,0.0226899321949818,1,-0.585915062107772,101,0.00705043845385056,0.0493530691769539,1,-0.565591397849462
2,global_fitness_total,MPSORL,RRSACPSO,30,1551.32000771328,1612.85511429913,-61.5351065858555,-101.476626491971,-21.5935866797396,-3.15094228553167,0.00376021168164531,0.0226899321949818,1,-0.575280722394194,104,0.00846973036489262,0.0493530691769539,1,-0.552688172043011
