Run,Algorithm,Success,GlobalPathFitness,PathLength,TurningPenalty,ClimbingPenalty,HeightPenalty,CollisionPenalty,TerrainPenalty,DangerZonePenalty,DuplicatePenalty,TotalGlobalPlanTime,AvgGlobalPlanTime,NumGlobalPlans
1,AFSACPSO,1,1783.3602,190.1036,3.3581,4.4303,204.3725,0.0000,0.0000,0.0000,0.0000,2.2250,2.2250,1
1,SACPSO-Global,1,1654.4513,214.6507,4.2292,4.0667,151.3453,0.0000,0.0000,0.0000,0.0000,2.1952,2.1952,1
1,SACPSO-5Subgroup,1,1755.9425,180.3160,3.2017,4.1697,210.2826,0.0000,0.0000,0.0000,0.0000,2.1330,2.1330,1
1,SACPSO-PerParticle,1,1633.7094,194.8891,3.0349,4.2541,175.3700,0.0000,0.0000,0.0000,0.0000,2.1167,2.1167,1
