Algorithm,SuccessRate,Mean_GlobalFitness,Std_GlobalFitness,Median_GlobalFitness,Min_GlobalFitness,Max_GlobalFitness,Mean_PathLength,Std_PathLength,Mean_TurningPenalty,Std_TurningPenalty,Mean_ClimbingPenalty,Std_ClimbingPenalty,Mean_HeightPenalty,Std_HeightPenalty,Mean_CollisionPenalty,Std_CollisionPenalty,Mean_TerrainPenalty,Std_TerrainPenalty,Mean_DangerZonePenalty,Std_DangerZonePenalty,Mean_DuplicatePenalty,Std_DuplicatePenalty,Mean_TotalGlobalPlanTime,Std_TotalGlobalPlanTime,Mean_AvgGlobalPlanTime,Mean_NumGlobalPlans
AFSACPSO,1.0000,1783.1017,0.0000,1783.1017,1783.1017,1783.1017,199.2122,0.0000,3.8940,0.0000,5.6905,0.0000,163.0939,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8917,0.0000,3.8917,1.00
SACPSO-Global,1.0000,1590.7730,0.0000,1590.7730,1590.7730,1590.7730,180.6150,0.0000,3.6153,0.0000,5.1645,0.0000,139.5242,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4970,0.0000,2.4970,1.00
SACPSO-5Subgroup,1.0000,1697.5630,0.0000,1697.5630,1697.5630,1697.5630,152.0809,0.0000,1.4098,0.0000,5.7386,0.0000,212.0998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2547,0.0000,2.2547,1.00
SACPSO-PerParticle,1.0000,2056.7128,0.0000,2056.7128,2056.7128,2056.7128,247.3894,0.0000,4.4020,0.0000,2.7501,0.0000,262.0972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1185,0.0000,2.1185,1.00
