Algorithm,SuccessRate,Mean_GlobalFitness,Std_GlobalFitness,Median_GlobalFitness,Min_GlobalFitness,Max_GlobalFitness,Mean_PathLength,Std_PathLength,Mean_TurningPenalty,Std_TurningPenalty,Mean_ClimbingPenalty,Std_ClimbingPenalty,Mean_HeightPenalty,Std_HeightPenalty,Mean_CollisionPenalty,Std_CollisionPenalty,Mean_TerrainPenalty,Std_TerrainPenalty,Mean_DangerZonePenalty,Std_DangerZonePenalty,Mean_DuplicatePenalty,Std_DuplicatePenalty,Mean_TotalGlobalPlanTime,Std_TotalGlobalPlanTime,Mean_AvgGlobalPlanTime,Mean_NumGlobalPlans
AFSACPSO,1.0000,1783.3602,0.0000,1783.3602,1783.3602,1783.3602,190.1036,0.0000,3.3581,0.0000,4.4303,0.0000,204.3725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2250,0.0000,2.2250,1.00
SACPSO-Global,1.0000,1654.4513,0.0000,1654.4513,1654.4513,1654.4513,214.6507,0.0000,4.2292,0.0000,4.0667,0.0000,151.3453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1952,0.0000,2.1952,1.00
SACPSO-5Subgroup,1.0000,1755.9425,0.0000,1755.9425,1755.9425,1755.9425,180.3160,0.0000,3.2017,0.0000,4.1697,0.0000,210.2826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1330,0.0000,2.1330,1.00
SACPSO-PerParticle,1.0000,1633.7094,0.0000,1633.7094,1633.7094,1633.7094,194.8891,0.0000,3.0349,0.0000,4.2541,0.0000,175.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1167,0.0000,2.1167,1.00
