Algorithm,SuccessRate,Mean_GlobalFitness,Std_GlobalFitness,Median_GlobalFitness,Min_GlobalFitness,Max_GlobalFitness,Mean_PathLength,Std_PathLength,Mean_TurningPenalty,Std_TurningPenalty,Mean_ClimbingPenalty,Std_ClimbingPenalty,Mean_HeightPenalty,Std_HeightPenalty,Mean_CollisionPenalty,Std_CollisionPenalty,Mean_TerrainPenalty,Std_TerrainPenalty,Mean_DangerZonePenalty,Std_DangerZonePenalty,Mean_DuplicatePenalty,Std_DuplicatePenalty,Mean_TotalGlobalPlanTime,Std_TotalGlobalPlanTime,Mean_AvgGlobalPlanTime,Mean_NumGlobalPlans
AFSACPSO,1.0000,12615.3017,0.0000,12615.3017,12615.3017,12615.3017,319.3002,0.0000,1.7037,0.0000,1.9821,0.0000,168.5998,0.0000,0.0000,0.0000,11101.5853,0.0000,0.0000,0.0000,0.0000,0.0000,4.0571,0.0000,4.0571,1.00
SACPSO-Global,1.0000,12490.3470,0.0000,12490.3470,12490.3470,12490.3470,334.1575,0.0000,2.5638,0.0000,2.1246,0.0000,110.2843,0.0000,0.0000,0.0000,11101.5853,0.0000,0.0000,0.0000,0.0000,0.0000,4.0522,0.0000,4.0522,1.00
SACPSO-5Subgroup,1.0000,12706.2262,0.0000,12706.2262,12706.2262,12706.2262,340.3496,0.0000,3.1877,0.0000,1.6592,0.0000,158.3707,0.0000,0.0000,0.0000,11101.5853,0.0000,0.0000,0.0000,0.0000,0.0000,3.9730,0.0000,3.9730,1.00
SACPSO-PerParticle,1.0000,13067.0943,0.0000,13067.0943,13067.0943,13067.0943,333.6636,0.0000,5.1772,0.0000,2.0455,0.0000,201.8787,0.0000,0.0000,0.0000,11101.5853,0.0000,0.0000,0.0000,0.0000,0.0000,3.9824,0.0000,3.9824,1.00
