Algorithm,SuccessRate,Mean_GlobalFitness,Std_GlobalFitness,Median_GlobalFitness,Min_GlobalFitness,Max_GlobalFitness,Mean_PathLength,Std_PathLength,Mean_TurningPenalty,Std_TurningPenalty,Mean_ClimbingPenalty,Std_ClimbingPenalty,Mean_HeightPenalty,Std_HeightPenalty,Mean_CollisionPenalty,Std_CollisionPenalty,Mean_TerrainPenalty,Std_TerrainPenalty,Mean_DangerZonePenalty,Std_DangerZonePenalty,Mean_DuplicatePenalty,Std_DuplicatePenalty,Mean_TotalGlobalPlanTime,Std_TotalGlobalPlanTime,Mean_AvgGlobalPlanTime,Mean_NumGlobalPlans
RRSACPSO,1.0000,1637.7526,72.7115,1625.1345,1438.5309,1765.5094,152.8592,8.8071,1.5810,0.4346,4.3744,0.7093,221.6765,20.9378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.7550,36.2078,130.7550,1.00
PSO-Standard,1.0000,1660.6452,78.0090,1652.0584,1525.6210,1812.3991,178.3613,28.7826,2.7765,1.1499,4.3406,0.6789,192.5721,27.9132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.1874,2.4170,20.1874,1.00
PSO-LDIW,1.0000,1594.7453,54.0899,1583.7313,1479.6858,1711.5930,158.2020,14.1373,2.1013,0.8749,4.4702,0.6136,195.8636,17.7759,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.3958,2.0540,20.3958,1.00
FIPS,1.0000,1780.9432,49.9116,1773.7929,1693.2571,1885.5787,217.3344,22.7144,4.4622,0.4961,4.8932,0.8844,159.7745,15.2521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.8214,2.3701,20.8214,1.00
CLPSO,1.0000,1885.5898,97.4238,1890.9283,1720.5759,2199.3831,186.6566,25.5329,3.2622,0.7483,5.6323,0.9713,208.3232,17.6682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.3597,2.2640,20.3597,1.00
SAEPSO [11],1.0000,1495.9562,29.7411,1496.1722,1410.7879,1555.2929,188.1501,11.6162,2.2899,0.2496,3.9796,0.6217,164.9794,13.6209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.4307,4.5802,50.4307,1.00
SAEPSO* [11],1.0000,1574.3548,71.4331,1571.9719,1393.5972,1769.2442,175.2480,21.1461,2.8556,0.9301,4.7414,0.8457,162.2976,17.1585,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0345,1.7191,19.0345,1.00
UAPSO [25],1.0000,1585.0696,89.5258,1556.9307,1439.0584,1805.7918,182.6869,19.2415,2.6835,0.6657,4.6101,0.8602,168.1964,18.7347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,154.2204,15.2866,154.2204,1.00
