scenario_id,metric_name,algorithm,n_valid,mean,std,median,min,max,average_rank,significant_wins_holm_t,friedman_chi_square,friedman_df,friedman_p,n_friedman_runs
4,global_fitness_total,RLAMPSO [36],30,12686.66375,206.9385988,12652.81915,12281.80971,13254.27356,4.5,0,74.38095238,5,1.254552018e-14,30
4,global_fitness_total,DQN-PSO [34],30,12558.21426,319.9308127,12522.86009,12141.0456,13393.78446,3.766666667,1,74.38095238,5,1.254552018e-14,30
4,global_fitness_total,SAC-SAPSO,30,12879.02431,351.799996,12870.51269,12313.74645,13614.87921,5.066666667,0,74.38095238,5,1.254552018e-14,30
4,global_fitness_total,PPO-PSO,30,12568.21618,332.9726731,12487.23162,12103.73713,13441.40292,3.833333333,1,74.38095238,5,1.254552018e-14,30
4,global_fitness_total,MPSORL,30,12258.76611,138.9581877,12200.24503,12104.63479,12628.54449,2.033333333,4,74.38095238,5,1.254552018e-14,30
4,global_fitness_total,AFSACPSO,30,12279.54511,150.1681769,12259.06068,12054.08085,12552.84955,1.8,4,74.38095238,5,1.254552018e-14,30
