scenario_id,metric_name,algorithm,n_valid,mean,std,median,min,max,average_rank,significant_wins_holm_t,friedman_chi_square,friedman_df,friedman_p,n_friedman_runs
1,global_fitness_total,RLAMPSO [36],30,1680.107696,43.35062155,1674.65263,1596.034937,1773.929055,4.166666667,1,41.92380952,5,6.103261785e-08,30
1,global_fitness_total,DQN-PSO [34],30,1644.709812,73.3564357,1654.207343,1505.549541,1781.166048,3.333333333,1,41.92380952,5,6.103261785e-08,30
1,global_fitness_total,SAC-SAPSO,30,1767.652509,116.0001204,1749.874645,1523.010625,2083.65361,5.033333333,0,41.92380952,5,6.103261785e-08,30
1,global_fitness_total,PPO-PSO,30,1698.234918,252.705545,1630.93963,1490.195932,2889.415453,3.366666667,0,41.92380952,5,6.103261785e-08,30
1,global_fitness_total,MPSORL,30,1631.490813,81.02652832,1630.16449,1476.563489,1899.703919,2.9,1,41.92380952,5,6.103261785e-08,30
1,global_fitness_total,AFSACPSO,30,1600.091912,88.04182209,1606.507259,1424.679195,1814.915177,2.2,2,41.92380952,5,6.103261785e-08,30
