Algorithm,SuccessRate,Mean_GlobalFitness,Std_GlobalFitness,Median_GlobalFitness,Min_GlobalFitness,Max_GlobalFitness,Mean_PathLength,Std_PathLength,Mean_TurningPenalty,Std_TurningPenalty,Mean_ClimbingPenalty,Std_ClimbingPenalty,Mean_HeightPenalty,Std_HeightPenalty,Mean_CollisionPenalty,Std_CollisionPenalty,Mean_TerrainPenalty,Std_TerrainPenalty,Mean_DangerZonePenalty,Std_DangerZonePenalty,Mean_DuplicatePenalty,Std_DuplicatePenalty,Mean_TotalGlobalPlanTime,Std_TotalGlobalPlanTime,Mean_AvgGlobalPlanTime,Mean_NumGlobalPlans
RLAMPSO (Global),1.0000,1649.7962,72.3320,1642.1856,1540.9297,1838.4953,157.4965,9.0295,1.9675,0.5697,4.6142,0.6020,209.7056,23.9041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.8163,16.5303,38.8163,1.00
RLAMPSO (5 Subgroup),1.0000,1666.7929,109.1499,1638.8790,1547.5654,1994.8688,163.8623,19.3414,2.2798,0.8594,4.4361,0.5786,208.5062,23.3964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.1912,6.3741,25.1912,1.00
RLAMPSO (Per-Particle),1.0000,1664.3517,84.8468,1651.5057,1545.3489,1868.8323,161.8765,14.2383,2.0868,0.7057,4.1987,0.6395,217.6906,17.7649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.7883,3.0404,20.7883,1.00
DQN-PSO (Global),1.0000,1868.3637,257.3507,1810.3873,1547.6144,2390.9510,186.3117,31.3244,3.4442,1.5699,4.8105,0.8404,217.4877,38.3033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.8932,9.4079,67.8932,1.00
DQN-PSO (5-Subgroup),1.0000,1904.7649,250.0978,1822.2831,1527.3908,2491.9553,179.9898,29.1486,3.0480,1.4449,4.8142,0.7048,237.4008,31.9157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.1189,8.7582,66.1189,1.00
DQN-PSO (Per-Particle),1.0000,1898.6376,173.4858,1919.3438,1553.1566,2223.1929,183.8863,24.2593,3.1849,1.3253,4.6520,0.8212,234.7710,32.8039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.6552,9.3843,65.6552,1.00
RRSACPSO,1.0000,1592.7025,49.4505,1585.2794,1504.4164,1714.7618,159.1487,14.4252,2.0318,0.7447,4.6478,0.5712,192.7046,23.4735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.5100,14.9320,33.5100,1.00
