scenario_id,metric_name,algorithm_1,algorithm_2,n_pairs,mean_1,mean_2,mean_diff,ci95_low,ci95_high,t_stat,p_raw_t,p_holm_t,sig_holm_t,cohen_dz,wilcoxon_W,p_raw_wilcoxon,p_holm_wilcoxon,sig_holm_wilcoxon,rank_biserial_r
2,global_fitness_total,RRSACPSO,PSO-Standard,30,1609.63645989745,1691.63825820512,-82.0017983076667,-144.535270781652,-19.4683258336814,-2.68196378629056,0.0119538540201505,0.167353956282107,0,-0.489657354721101,117,0.0180125995198179,0.234163793757633,0,-0.496774193548387
2,global_fitness_total,RRSACPSO,PSO-LDIW,30,1609.63645989745,1629.849346846,-20.2128869485457,-58.909735495373,18.4839615982817,-1.06830393410511,0.294195875419148,1,0,-0.195044720993627,181,0.29418488083351,1,0,-0.221505376344086
2,global_fitness_total,RRSACPSO,FIPS,30,1609.63645989745,1722.28767175333,-112.651211855879,-150.809703546427,-74.4927201653303,-6.03791154999403,1.43552109443945e-06,2.72749007943496e-05,1,-1.10236678538424,30,3.25565716829956e-05,0.000618574861976917,1,-0.870967741935484
2,global_fitness_total,RRSACPSO,CLPSO,30,1609.63645989745,1986.04421754005,-376.407757642601,-418.265101614427,-334.550413670776,-18.392000791399,0,0,1,-3.35790457036736,0,1.82537145620998e-06,5.11104007738794e-05,1,-1
2,global_fitness_total,RRSACPSO,SAEPSO [11],30,1609.63645989745,1599.30377042789,10.3326894695634,-21.1594593766976,41.8248383158244,0.671047342281044,0.507500418102034,1,0,0.122515922173739,272,0.42245738354765,1,0,0.16989247311828
2,global_fitness_total,RRSACPSO,SAEPSO* [11],30,1609.63645989745,1586.10283199831,23.5336278991367,-20.5920566812158,67.6593124794892,1.09078587275758,0.284347542567662,1,0,0.199149342639096,276,0.376459497820036,1,0,0.187096774193548
2,global_fitness_total,RRSACPSO,UAPSO [25],30,1609.63645989745,1609.88290141573,-0.24644151828201,-62.2015128312285,61.7086297946645,-0.00813540340699797,0.993564667044282,1,0,-0.00148531465347239,265,0.510418067579376,1,0,0.139784946236559
2,global_fitness_total,PSO-Standard,PSO-LDIW,30,1691.63825820512,1629.849346846,61.7889113591211,-5.65029335823399,129.228116076476,1.87387312166301,0.0710561859821435,0.781618045803578,0,0.342120859545817,306,0.133229188387594,1,0,0.316129032258064
2,global_fitness_total,PSO-Standard,FIPS,30,1691.63825820512,1722.28767175333,-30.649413548212,-84.7469632091115,23.4481361126875,-1.15874174515144,0.256014614012957,1,0,-0.211556330714115,151,0.095706346357193,0.95706346357193,0,-0.350537634408602
2,global_fitness_total,PSO-Standard,CLPSO,30,1691.63825820512,1986.04421754005,-294.405959334935,-364.060428012102,-224.751490657767,-8.64449627259627,1.61152957645072e-09,3.54536506819159e-08,1,-1.57826186892343,15,8.06957614196691e-06,0.000169461098981305,1,-0.935483870967742
2,global_fitness_total,PSO-Standard,SAEPSO [11],30,1691.63825820512,1599.30377042789,92.3344877772301,27.9569844250092,156.711991129451,2.93340408619176,0.00648870284535974,0.103819245525756,0,0.535563862761685,351,0.0152215685602488,0.228323528403732,0,0.509677419354839
2,global_fitness_total,PSO-Standard,SAEPSO* [11],30,1691.63825820512,1586.10283199831,105.535426206803,27.6536231864778,183.417229227129,2.77143278149198,0.00964318471336822,0.144647770700523,0,0.505992083677481,354,0.0128186200937375,0.205097921499799,0,0.52258064516129
2,global_fitness_total,PSO-Standard,UAPSO [25],30,1691.63825820512,1609.88290141573,81.7553567893847,-8.69734413290041,172.20805771167,1.84857364570736,0.0747395375878153,0.781618045803578,0,0.337501828321161,351,0.0152215685602488,0.228323528403732,0,0.509677419354839
2,global_fitness_total,PSO-LDIW,FIPS,30,1629.849346846,1722.28767175333,-92.4383249073331,-131.964367995554,-52.9122818191123,-4.78311481234532,4.63399096664041e-05,0.000834118373995274,1,-0.87327329261954,43,0.000101316974498999,0.00182370554098199,1,-0.81505376344086
2,global_fitness_total,PSO-LDIW,CLPSO,30,1629.849346846,1986.04421754005,-356.194870694056,-396.897806867288,-315.491934520823,-17.8979792714489,0,0,1,-3.26770899357747,0,1.82537145620998e-06,5.11104007738794e-05,1,-1
2,global_fitness_total,PSO-LDIW,SAEPSO [11],30,1629.849346846,1599.30377042789,30.545576418109,1.0026212651042,60.0885315711139,2.11464012325435,0.0431755719355413,0.518106863226496,0,0.386078698837304,340,0.0277493136978864,0.332991764374636,0,0.462365591397849
2,global_fitness_total,PSO-LDIW,SAEPSO* [11],30,1629.849346846,1586.10283199831,43.7465148476823,5.71345444788186,81.7795752474828,2.35247092833266,0.0256476709233264,0.333419722003244,0,0.429500464440973,333,0.0397022025662173,0.43672422822839,0,0.432258064516129
2,global_fitness_total,PSO-LDIW,UAPSO [25],30,1629.849346846,1609.88290141573,19.9664454302636,-35.8321306252494,75.7650214857767,0.731846024192054,0.470135859398977,1,0,0.133616192023487,303,0.149928588659584,1,0,0.303225806451613
2,global_fitness_total,FIPS,CLPSO,30,1722.28767175333,1986.04421754005,-263.756545786722,-310.490009337827,-217.023082235618,-11.5429643933208,2.31326069410898e-12,5.55182566586154e-11,1,-2.10744732623358,0,1.82537145620998e-06,5.11104007738794e-05,1,-1
2,global_fitness_total,FIPS,SAEPSO [11],30,1722.28767175333,1599.30377042789,122.983901325442,89.3816011467221,156.586201504162,7.48550900256548,2.9946434221273e-08,6.28875118646732e-07,1,1.36666071170437,452,6.65399498522845e-06,0.000153041884660254,1,0.944086021505376
2,global_fitness_total,FIPS,SAEPSO* [11],30,1722.28767175333,1586.10283199831,136.184839755015,93.1254465093847,179.244233000646,6.46849038224621,4.44323394521717e-07,8.88646789043435e-06,1,1.18097936512049,441,1.88398357399144e-05,0.000376796714798289,1,0.896774193548387
2,global_fitness_total,FIPS,UAPSO [25],30,1722.28767175333,1609.88290141573,112.404770337597,50.3638095949583,174.445731080235,3.7055127041654,0.000884365303426504,0.0150342101582506,1,0.676530965064452,418,0.00014172241426369,0.00240928104248272,1,0.797849462365591
2,global_fitness_total,CLPSO,SAEPSO [11],30,1986.04421754005,1599.30377042789,386.740447112165,346.44380443476,427.037089789569,19.6287574767411,0,0,1,3.58370441526976,465,1.82537145620998e-06,5.11104007738794e-05,1,1
2,global_fitness_total,CLPSO,SAEPSO* [11],30,1986.04421754005,1586.10283199831,399.941385541738,350.338941842214,449.543829241262,16.4905580413879,4.44089209850063e-16,1.11022302462516e-14,1,3.01075020837212,465,1.82537145620998e-06,5.11104007738794e-05,1,1
2,global_fitness_total,CLPSO,UAPSO [25],30,1986.04421754005,1609.88290141573,376.161316124319,307.758879159449,444.563753089189,11.2472056273747,4.29878355134861e-12,9.88720216810179e-11,1,2.05344941033739,452,6.65399498522845e-06,0.000153041884660254,1,0.944086021505376
2,global_fitness_total,SAEPSO [11],SAEPSO* [11],30,1599.30377042789,1586.10283199831,13.2009384295733,-26.0174963501926,52.4193732093392,0.688424990227623,0.496655842123969,1,0,0.125688632099314,257,0.621560344069081,1,0,0.105376344086022
