scenario_id,metric_name,algorithm,n_valid,mean,std,median,min,max,average_rank,significant_wins_holm_t,friedman_chi_square,friedman_df,friedman_p,n_friedman_runs
1,global_fitness_total,RRSACPSO,30,12372.33334,147.8358714,12331.14159,12164.49744,12668.79896,3.666666667,3,174.1444444,7,0,30
1,global_fitness_total,PSO-Standard,30,12436.71282,152.5743637,12452.85719,12172.23677,12719.559,4.4,3,174.1444444,7,0,30
1,global_fitness_total,PSO-LDIW,30,12387.15323,162.1623155,12374.76934,12139.3803,12663.11065,3.966666667,3,174.1444444,7,0,30
1,global_fitness_total,FIPS,30,12651.82369,184.6658525,12609.35973,12354.08065,13104.24114,5.766666667,2,174.1444444,7,0,30
1,global_fitness_total,CLPSO,30,13010.93146,93.82397909,13008.6726,12811.15941,13233.41122,7.8,0,174.1444444,7,0,30
1,global_fitness_total,SAEPSO [11],30,12104.13172,9.619013145,12107.93704,12055.12091,12107.9725,1.133333333,7,174.1444444,7,0,30
1,global_fitness_total,SAEPSO* [11],30,12214.79699,123.5639395,12175.11704,12053.44907,12549.29985,2.4,6,174.1444444,7,0,30
1,global_fitness_total,UAPSO [25],30,12861.33199,150.0020389,12861.88309,12463.24086,13165.2586,6.866666667,1,174.1444444,7,0,30
