Run,Algorithm,Success,GlobalPathFitness,PathLength,TurningPenalty,ClimbingPenalty,HeightPenalty,CollisionPenalty,TerrainPenalty,DangerZonePenalty,DuplicatePenalty,TotalGlobalPlanTime,AvgGlobalPlanTime,NumGlobalPlans
1,AFSACPSO,1,1580.5045,152.4788,1.5035,4.6495,203.4047,0.0000,0.0000,0.0000,0.0000,98.6529,98.6529,1
1,PSO-Standard,1,1536.3265,161.0567,1.7411,3.5865,205.9838,0.0000,0.0000,0.0000,0.0000,38.7944,38.7944,1
1,PSO-LDIW,1,1658.8615,160.8583,2.4183,3.2626,229.3402,0.0000,0.0000,0.0000,0.0000,42.6452,42.6452,1
1,FIPS,1,1724.0800,230.2787,4.6475,3.9171,156.6420,0.0000,0.0000,0.0000,0.0000,43.7083,43.7083,1
1,CLPSO,1,2141.3389,210.6727,4.3099,7.3358,204.9359,0.0000,0.0000,0.0000,0.0000,38.6797,38.6797,1
1,SAEPSO [11],1,1607.8751,204.3990,2.7619,4.2280,171.1785,0.0000,0.0000,0.0000,0.0000,101.4322,101.4322,1
1,SAEPSO* [11],1,1433.2247,182.0724,2.3804,4.2846,143.5886,0.0000,0.0000,0.0000,0.0000,38.0630,38.0630,1
1,UAPSO [25],1,1648.5638,176.8832,3.5827,4.1866,176.5785,0.0000,0.0000,0.0000,0.0000,226.9986,226.9986,1
