scenario_id,metric_name,algorithm_1,algorithm_2,n_pairs,mean_1,mean_2,mean_diff,ci95_low,ci95_high,t_stat,p_raw_t,p_holm_t,sig_holm_t,cohen_dz,wilcoxon_W,p_raw_wilcoxon,p_holm_wilcoxon,sig_holm_wilcoxon,rank_biserial_r
3,global_fitness_total,RRSACPSO,PSO-Standard,30,1639.15442146015,1762.46453376338,-123.310112303233,-212.966135702589,-33.6540889038778,-2.81294538050963,0.00871970378097409,0.130795556714611,0,-0.513571212645025,107,0.0101392906761486,0.162228650818378,0,-0.539784946236559
3,global_fitness_total,RRSACPSO,PSO-LDIW,30,1639.15442146015,1630.3046726494,8.84974881074712,-42.6563697994045,60.3558674208987,0.351410067026771,0.727821159883324,1,0,0.064158406881655,233,1,1,0,0.0021505376344086
3,global_fitness_total,RRSACPSO,FIPS,30,1639.15442146015,1690.3461666719,-51.1917452117453,-122.459522976031,20.0760325525402,-1.46909133445064,0.152573364342728,1,0,-0.268218154304662,172,0.217165508931576,1,0,-0.260215053763441
3,global_fitness_total,RRSACPSO,CLPSO,30,1639.15442146015,2119.14827886832,-479.993857408168,-557.898297718742,-402.089417097594,-12.601305667488,2.73780997872564e-13,7.39208694255922e-12,1,-2.30067312270028,0,1.82537145620998e-06,5.11104007738794e-05,1,-1
3,global_fitness_total,RRSACPSO,SAEPSO [11],30,1639.15442146015,1590.0351135024,49.1193079577551,0.548883681672358,97.6897322338378,2.06834233246002,0.0476285345704697,0.523913880275166,0,0.377625917377067,328,0.0507021350637791,0.507021350637791,0,0.410752688172043
3,global_fitness_total,RRSACPSO,SAEPSO* [11],30,1639.15442146015,1538.65281867925,100.501602780903,25.488635403776,175.51457015803,2.74017765561749,0.0103981713686037,0.145574399160451,0,0.500285704517774,351,0.0152215685602488,0.197880391283235,0,0.509677419354839
3,global_fitness_total,RRSACPSO,UAPSO [25],30,1639.15442146015,1698.3917770033,-59.2373555431533,-220.987479608739,102.512768522433,-0.749019490264547,0.459878201919411,1,0,-0.136751623609638,261,0.564673648890418,1,0,0.12258064516129
3,global_fitness_total,PSO-Standard,PSO-LDIW,30,1762.46453376338,1630.3046726494,132.159861113981,55.1334086502097,209.186313577751,3.50914856913988,0.00148821267123322,0.026787828082198,1,0.640679942984964,387,0.00153742881590491,0.0261362898703834,1,0.664516129032258
3,global_fitness_total,PSO-Standard,FIPS,30,1762.46453376338,1690.3461666719,72.1183670914882,-26.3580723427005,170.594806525677,1.49780620587513,0.144990324355268,1,0,0.273460748576346,320,0.0735430933453181,0.661887840107863,0,0.376344086021505
3,global_fitness_total,PSO-Standard,CLPSO,30,1762.46453376338,2119.14827886832,-356.683745104934,-460.811831176132,-252.555659033737,-7.00579637902146,1.05371465330961e-07,2.42354370261211e-06,1,-1.27907757002602,18,1.07443326546885e-05,0.000247119651057837,1,-0.92258064516129
3,global_fitness_total,PSO-Standard,SAEPSO [11],30,1762.46453376338,1590.0351135024,172.429420260989,94.5224329354542,250.336407586523,4.5266512491141,9.4323505383187e-05,0.00188647010766374,1,0.826449666366243,413,0.000213652857096402,0.00448670999902445,1,0.776344086021505
3,global_fitness_total,PSO-Standard,SAEPSO* [11],30,1762.46453376338,1538.65281867925,223.811715084137,131.346480100242,316.276950068032,4.95046980656217,2.91103609888488e-05,0.000611317580765824,1,0.903827994434112,423,9.30692841665248e-05,0.00204752425166355,1,0.819354838709677
