Algorithm,SuccessRate,Mean_GlobalFitness,Std_GlobalFitness,Median_GlobalFitness,Min_GlobalFitness,Max_GlobalFitness,Mean_PathLength,Std_PathLength,Mean_TurningPenalty,Std_TurningPenalty,Mean_ClimbingPenalty,Std_ClimbingPenalty,Mean_HeightPenalty,Std_HeightPenalty,Mean_CollisionPenalty,Std_CollisionPenalty,Mean_TerrainPenalty,Std_TerrainPenalty,Mean_DangerZonePenalty,Std_DangerZonePenalty,Mean_DuplicatePenalty,Std_DuplicatePenalty,Mean_TotalGlobalPlanTime,Std_TotalGlobalPlanTime,Mean_AvgGlobalPlanTime,Mean_NumGlobalPlans
RRSACPSO,1.0000,12372.3333,147.8359,12331.1416,12164.4974,12668.7990,303.2256,14.7941,1.4267,0.6824,1.2894,0.5430,134.7578,36.6190,0.0000,0.0000,11101.5853,0.0000,0.0000,0.0000,0.0000,0.0000,260.1784,145.9770,260.1784,1.00
PSO-Standard,1.0000,12436.7128,152.5744,12452.8572,12172.2368,12719.5590,310.7826,36.2886,1.6298,0.9952,1.4552,0.6339,140.0179,34.8310,0.0000,0.0000,11101.5853,0.0000,0.0000,0.0000,0.0000,0.0000,530.0096,156.5121,530.0096,1.00
PSO-LDIW,1.0000,12387.1532,162.1623,12374.7693,12139.3803,12663.1106,298.0046,13.0147,1.0927,0.5484,1.4134,0.5836,145.0138,38.7191,0.0000,0.0000,11101.5853,0.0000,0.0000,0.0000,0.0000,0.0000,534.3104,168.9205,534.3104,1.00
FIPS,1.0000,12651.8237,184.6659,12609.3597,12354.0807,13104.2411,320.8956,15.3093,2.8547,0.5752,2.6092,0.7259,140.0220,34.9313,0.0000,0.0000,11101.5853,0.0000,0.0000,0.0000,0.0000,0.0000,512.4854,59.9447,512.4854,1.00
CLPSO,1.0000,13010.9315,93.8240,13008.6726,12811.1594,13233.4112,323.3473,15.8426,2.4637,0.7261,3.6841,0.6847,214.5287,22.6656,0.0000,0.0000,11101.5853,0.0000,0.0000,0.0000,0.0000,0.0000,694.6099,79.1834,694.6099,1.00
SAEPSO [11],1.0000,12104.1317,9.6190,12107.9370,12055.1209,12107.9725,363.9333,5.7614,1.3919,0.0008,0.0000,0.0000,70.0000,0.0000,0.0000,0.0000,11101.5853,0.0000,0.0000,0.0000,0.0000,0.0000,183.0649,19.8280,183.0649,1.00
SAEPSO* [11],1.0000,12214.7970,123.5639,12175.1170,12053.4491,12549.2998,313.6553,15.6974,1.7198,0.5226,0.7840,0.4910,95.4517,21.8152,0.0000,0.0000,11101.5853,0.0000,0.0000,0.0000,0.0000,0.0000,71.6887,6.9463,71.6887,1.00
UAPSO [25],1.0000,12861.3320,150.0020,12861.8831,12463.2409,13165.2586,331.5040,18.2961,1.9880,0.4930,3.1665,0.6068,194.4248,29.8378,0.0000,0.0000,11101.5853,0.0000,0.0000,0.0000,0.0000,0.0000,1045.8693,140.5432,1045.8693,1.00
