Run,Algorithm,Success,GlobalPathFitness,PathLength,TurningPenalty,ClimbingPenalty,HeightPenalty,CollisionPenalty,TerrainPenalty,DangerZonePenalty,DuplicatePenalty,TotalGlobalPlanTime,AvgGlobalPlanTime,NumGlobalPlans
1,RRSACPSO,1,1595.6805,156.1880,1.4996,3.6762,226.0119,0.0000,0.0000,0.0000,0.0000,85.1208,85.1208,1
1,PSO-Standard,1,1424.5509,194.4965,2.3525,3.7138,148.7156,0.0000,0.0000,0.0000,0.0000,35.0259,35.0259,1
1,PSO-LDIW,1,1621.4192,154.3034,2.0975,4.6736,199.9970,0.0000,0.0000,0.0000,0.0000,34.3372,34.3372,1
1,FIPS,1,1660.1568,198.4062,3.5910,4.5180,163.4319,0.0000,0.0000,0.0000,0.0000,34.1827,34.1827,1
1,CLPSO,1,2094.9727,187.4486,3.3329,7.7603,214.5303,0.0000,0.0000,0.0000,0.0000,33.3476,33.3476,1
1,SAEPSO [11],1,1619.5068,186.1920,2.3575,4.9488,175.0830,0.0000,0.0000,0.0000,0.0000,93.9791,93.9791,1
1,SAEPSO* [11],1,1611.4611,149.2340,1.3806,7.0229,165.6109,0.0000,0.0000,0.0000,0.0000,34.7807,34.7807,1
1,UAPSO [25],1,3061.4453,263.6301,3.2146,7.1563,439.4542,0.0000,0.0000,0.0000,0.0000,278.4962,278.4962,1
2,RRSACPSO,1,1678.2797,153.7495,1.3543,3.8119,247.8799,0.0000,0.0000,0.0000,0.0000,85.8865,85.8865,1
2,PSO-Standard,1,1335.5439,189.8662,2.4721,3.8059,123.9829,0.0000,0.0000,0.0000,0.0000,35.9719,35.9719,1
2,PSO-LDIW,1,1645.0044,154.7066,2.1239,5.4502,188.9960,0.0000,0.0000,0.0000,0.0000,34.8347,34.8347,1
2,FIPS,1,1598.9974,192.0744,2.3463,4.8351,170.1055,0.0000,0.0000,0.0000,0.0000,34.1455,34.1455,1
2,CLPSO,1,2306.4170,221.7698,3.5346,7.5202,253.8915,0.0000,0.0000,0.0000,0.0000,33.7270,33.7270,1
2,SAEPSO [11],1,1569.2726,195.4234,2.3246,4.3783,171.2483,0.0000,0.0000,0.0000,0.0000,94.7544,94.7544,1
2,SAEPSO* [11],1,1411.1072,201.5742,2.4451,3.4775,145.4016,0.0000,0.0000,0.0000,0.0000,36.4728,36.4728,1
2,UAPSO [25],1,1760.3977,235.5266,6.9701,3.5289,123.2355,0.0000,0.0000,0.0000,0.0000,238.8039,238.8039,1
3,RRSACPSO,1,1617.4175,152.7541,2.0561,5.5107,183.0657,0.0000,0.0000,0.0000,0.0000,86.0434,86.0434,1
3,PSO-Standard,1,1502.2552,204.3690,2.4052,3.0676,176.3936,0.0000,0.0000,0.0000,0.0000,36.3541,36.3541,1
